"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3175","Submit contact us form successfully","chromium","Sun Apr 12 03:09:30 UTC 2026","passed","Sun Apr 12 03:09:33 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","1771","Verify Subscription in home page","chromium","Sun Apr 12 03:09:31 UTC 2026","passed","Sun Apr 12 03:09:33 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","8137","Register user with existing email","chromium","Sun Apr 12 03:09:50 UTC 2026","passed","Sun Apr 12 03:09:58 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","7261","Login User with incorrect email and password","chromium","Sun Apr 12 03:09:37 UTC 2026","passed","Sun Apr 12 03:09:44 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","17279","Download Invoice after purchase order","chromium","Sun Apr 12 03:09:17 UTC 2026","passed","Sun Apr 12 03:09:34 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4678","Add Products in Cart","chromium","Sun Apr 12 03:09:46 UTC 2026","passed","Sun Apr 12 03:09:51 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2139","Verify all products and product detail page","chromium","Sun Apr 12 03:09:44 UTC 2026","passed","Sun Apr 12 03:09:46 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8487","Logout User","chromium","Sun Apr 12 03:09:41 UTC 2026","passed","Sun Apr 12 03:09:50 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","1915","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Sun Apr 12 03:09:35 UTC 2026","passed","Sun Apr 12 03:09:37 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1855","Navigate to test cases page successfully","chromium","Sun Apr 12 03:09:53 UTC 2026","passed","Sun Apr 12 03:09:55 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","19852","Place Order: Login before Checkout","chromium","Sun Apr 12 03:09:10 UTC 2026","passed","Sun Apr 12 03:09:30 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2929","Search Product","chromium","Sun Apr 12 03:09:47 UTC 2026","passed","Sun Apr 12 03:09:50 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3481","Add review on product","chromium","Sun Apr 12 03:09:50 UTC 2026","passed","Sun Apr 12 03:09:53 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","18229","Place Order: Register before Checkout","chromium","Sun Apr 12 03:09:10 UTC 2026","passed","Sun Apr 12 03:09:28 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2645","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Sun Apr 12 03:09:34 UTC 2026","passed","Sun Apr 12 03:09:37 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","14963","Place Order: Register while Checkout","chromium","Sun Apr 12 03:09:29 UTC 2026","passed","Sun Apr 12 03:09:44 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5277","View Category Products","chromium","Sun Apr 12 03:09:10 UTC 2026","passed","Sun Apr 12 03:09:15 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","9050","Search Products and Verify Cart After Login","chromium","Sun Apr 12 03:09:50 UTC 2026","passed","Sun Apr 12 03:09:59 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2229","Verify Subscription in Cart page","chromium","Sun Apr 12 03:09:33 UTC 2026","passed","Sun Apr 12 03:09:35 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","9184","Login User with correct email and password","chromium","Sun Apr 12 03:09:37 UTC 2026","passed","Sun Apr 12 03:09:46 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2305","Verify Product quantity in Cart","chromium","Sun Apr 12 03:09:44 UTC 2026","passed","Sun Apr 12 03:09:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8177","Add to cart from Recommended items","chromium","Sun Apr 12 03:09:33 UTC 2026","passed","Sun Apr 12 03:09:41 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","4713","Register user","chromium","Sun Apr 12 03:09:51 UTC 2026","passed","Sun Apr 12 03:09:56 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","5666","View & Cart Brand Products","chromium","Sun Apr 12 03:09:10 UTC 2026","passed","Sun Apr 12 03:09:15 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","13192","Verify address details in checkout page","chromium","Sun Apr 12 03:09:17 UTC 2026","passed","Sun Apr 12 03:09:30 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3213","Remove Products From Cart","chromium","Sun Apr 12 03:09:46 UTC 2026","passed","Sun Apr 12 03:09:50 UTC 2026","Products","features/products/products.feature.spec.js","",""
