"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2569","Verify Subscription in Cart page","chromium","Mon May 04 03:11:56 UTC 2026","passed","Mon May 04 03:11:58 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3735","Login User with correct email and password","chromium","Mon May 04 03:12:01 UTC 2026","passed","Mon May 04 03:12:04 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2076","Verify Subscription in home page","chromium","Mon May 04 03:11:54 UTC 2026","passed","Mon May 04 03:11:56 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3113","Add review on product","chromium","Mon May 04 03:12:13 UTC 2026","passed","Mon May 04 03:12:16 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2667","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Mon May 04 03:11:57 UTC 2026","passed","Mon May 04 03:12:00 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1999","Verify all products and product detail page","chromium","Mon May 04 03:12:05 UTC 2026","passed","Mon May 04 03:12:07 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","9729","Logout User","chromium","Mon May 04 03:12:04 UTC 2026","passed","Mon May 04 03:12:14 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","15600","Place Order: Register while Checkout","chromium","Mon May 04 03:11:52 UTC 2026","passed","Mon May 04 03:12:08 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8417","Add to cart from Recommended items","chromium","Mon May 04 03:11:57 UTC 2026","passed","Mon May 04 03:12:05 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2043","Search Product","chromium","Mon May 04 03:12:10 UTC 2026","passed","Mon May 04 03:12:12 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2597","Verify Product quantity in Cart","chromium","Mon May 04 03:12:07 UTC 2026","passed","Mon May 04 03:12:10 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4506","Remove Products From Cart","chromium","Mon May 04 03:12:08 UTC 2026","passed","Mon May 04 03:12:13 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","20612","Place Order: Login before Checkout","chromium","Mon May 04 03:11:33 UTC 2026","passed","Mon May 04 03:11:54 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7192","Login User with incorrect email and password","chromium","Mon May 04 03:12:00 UTC 2026","passed","Mon May 04 03:12:07 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","5209","View Category Products","chromium","Mon May 04 03:11:33 UTC 2026","passed","Mon May 04 03:11:39 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","1873","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Mon May 04 03:11:59 UTC 2026","passed","Mon May 04 03:12:00 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2101","Navigate to test cases page successfully","chromium","Mon May 04 03:12:16 UTC 2026","passed","Mon May 04 03:12:18 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","14515","Verify address details in checkout page","chromium","Mon May 04 03:11:39 UTC 2026","passed","Mon May 04 03:11:53 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","13649","Search Products and Verify Cart After Login","chromium","Mon May 04 03:12:12 UTC 2026","passed","Mon May 04 03:12:25 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","18407","Place Order: Register before Checkout","chromium","Mon May 04 03:11:34 UTC 2026","passed","Mon May 04 03:11:52 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5722","View & Cart Brand Products","chromium","Mon May 04 03:11:33 UTC 2026","passed","Mon May 04 03:11:39 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","16566","Download Invoice after purchase order","chromium","Mon May 04 03:11:39 UTC 2026","passed","Mon May 04 03:11:56 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4557","Register user","chromium","Mon May 04 03:12:14 UTC 2026","passed","Mon May 04 03:12:19 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","5496","Add Products in Cart","chromium","Mon May 04 03:12:07 UTC 2026","passed","Mon May 04 03:12:13 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7648","Register user with existing email","chromium","Mon May 04 03:12:13 UTC 2026","passed","Mon May 04 03:12:21 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","3892","Submit contact us form successfully","chromium","Mon May 04 03:11:53 UTC 2026","passed","Mon May 04 03:11:57 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
