"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5407","View & Cart Brand Products","chromium","Thu May 21 03:13:05 UTC 2026","passed","Thu May 21 03:13:11 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","1965","Navigate to test cases page successfully","chromium","Thu May 21 03:13:50 UTC 2026","passed","Thu May 21 03:13:52 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","4371","View Category Products","chromium","Thu May 21 03:13:05 UTC 2026","passed","Thu May 21 03:13:10 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","2474","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Thu May 21 03:13:33 UTC 2026","passed","Thu May 21 03:13:35 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","18121","Download Invoice after purchase order","chromium","Thu May 21 03:13:11 UTC 2026","passed","Thu May 21 03:13:29 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3833","Remove Products From Cart","chromium","Thu May 21 03:13:43 UTC 2026","passed","Thu May 21 03:13:46 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","20401","Place Order: Register before Checkout","chromium","Thu May 21 03:13:05 UTC 2026","passed","Thu May 21 03:13:26 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3011","Verify Subscription in Cart page","chromium","Thu May 21 03:13:29 UTC 2026","passed","Thu May 21 03:13:32 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7634","Login User with incorrect email and password","chromium","Thu May 21 03:13:33 UTC 2026","passed","Thu May 21 03:13:40 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","10157","Search Products and Verify Cart After Login","chromium","Thu May 21 03:13:44 UTC 2026","passed","Thu May 21 03:13:54 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2746","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Thu May 21 03:13:30 UTC 2026","passed","Thu May 21 03:13:33 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3472","Verify Product quantity in Cart","chromium","Thu May 21 03:13:40 UTC 2026","passed","Thu May 21 03:13:44 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","15749","Verify address details in checkout page","chromium","Thu May 21 03:13:10 UTC 2026","passed","Thu May 21 03:13:26 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4018","Search Product","chromium","Thu May 21 03:13:43 UTC 2026","passed","Thu May 21 03:13:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","21517","Place Order: Login before Checkout","chromium","Thu May 21 03:13:05 UTC 2026","passed","Thu May 21 03:13:27 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5316","Register user","chromium","Thu May 21 03:13:47 UTC 2026","passed","Thu May 21 03:13:52 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","4615","Logout User","chromium","Thu May 21 03:13:38 UTC 2026","passed","Thu May 21 03:13:42 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","1998","Verify Subscription in home page","chromium","Thu May 21 03:13:27 UTC 2026","passed","Thu May 21 03:13:29 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","8151","Add to cart from Recommended items","chromium","Thu May 21 03:13:30 UTC 2026","passed","Thu May 21 03:13:38 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2157","Verify all products and product detail page","chromium","Thu May 21 03:13:39 UTC 2026","passed","Thu May 21 03:13:42 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","16799","Place Order: Register while Checkout","chromium","Thu May 21 03:13:26 UTC 2026","passed","Thu May 21 03:13:43 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4294","Login User with correct email and password","chromium","Thu May 21 03:13:35 UTC 2026","passed","Thu May 21 03:13:39 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","7764","Register user with existing email","chromium","Thu May 21 03:13:47 UTC 2026","passed","Thu May 21 03:13:54 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","4946","Add Products in Cart","chromium","Thu May 21 03:13:42 UTC 2026","passed","Thu May 21 03:13:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3612","Add review on product","chromium","Thu May 21 03:13:46 UTC 2026","passed","Thu May 21 03:13:50 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3600","Submit contact us form successfully","chromium","Thu May 21 03:13:26 UTC 2026","passed","Thu May 21 03:13:30 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
