"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4300","Submit contact us form successfully","chromium","Sat Apr 18 03:08:14 UTC 2026","passed","Sat Apr 18 03:08:18 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","7710","Add to cart from Recommended items","chromium","Sat Apr 18 03:08:18 UTC 2026","passed","Sat Apr 18 03:08:26 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","4929","Register user","chromium","Sat Apr 18 03:08:41 UTC 2026","passed","Sat Apr 18 03:08:46 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","10131","Logout User","chromium","Sat Apr 18 03:08:26 UTC 2026","passed","Sat Apr 18 03:08:36 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3490","Search Product","chromium","Sat Apr 18 03:08:34 UTC 2026","passed","Sat Apr 18 03:08:38 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4660","Add Products in Cart","chromium","Sat Apr 18 03:08:29 UTC 2026","passed","Sat Apr 18 03:08:34 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2073","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Sat Apr 18 03:08:20 UTC 2026","passed","Sat Apr 18 03:08:22 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2086","Verify Subscription in Cart page","chromium","Sat Apr 18 03:08:18 UTC 2026","passed","Sat Apr 18 03:08:20 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","19795","Place Order: Register while Checkout","chromium","Sat Apr 18 03:08:34 UTC 2026","passed","Sat Apr 18 03:08:54 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4535","Add review on product","chromium","Sat Apr 18 03:08:36 UTC 2026","passed","Sat Apr 18 03:08:41 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2803","Verify Product quantity in Cart","chromium","Sat Apr 18 03:08:29 UTC 2026","passed","Sat Apr 18 03:08:32 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","12150","Search Products and Verify Cart After Login","chromium","Sat Apr 18 03:08:36 UTC 2026","passed","Sat Apr 18 03:08:48 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8249","Register user with existing email","chromium","Sat Apr 18 03:08:38 UTC 2026","passed","Sat Apr 18 03:08:46 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","1784","Navigate to test cases page successfully","chromium","Sat Apr 18 03:08:46 UTC 2026","passed","Sat Apr 18 03:08:48 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3537","Remove Products From Cart","chromium","Sat Apr 18 03:08:32 UTC 2026","passed","Sat Apr 18 03:08:36 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4773","View Category Products","chromium","Sat Apr 18 03:07:55 UTC 2026","passed","Sat Apr 18 03:07:59 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","10721","View & Cart Brand Products","chromium","Sat Apr 18 03:07:55 UTC 2026","passed","Sat Apr 18 03:08:05 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","2035","Verify Subscription in home page","chromium","Sat Apr 18 03:08:16 UTC 2026","passed","Sat Apr 18 03:08:18 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1728","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Sat Apr 18 03:08:21 UTC 2026","passed","Sat Apr 18 03:08:23 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7255","Login User with incorrect email and password","chromium","Sat Apr 18 03:08:22 UTC 2026","passed","Sat Apr 18 03:08:29 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","18450","Place Order: Register before Checkout","chromium","Sat Apr 18 03:07:55 UTC 2026","passed","Sat Apr 18 03:08:13 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","13659","Verify address details in checkout page","chromium","Sat Apr 18 03:08:00 UTC 2026","passed","Sat Apr 18 03:08:14 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","20347","Place Order: Login before Checkout","chromium","Sat Apr 18 03:07:55 UTC 2026","passed","Sat Apr 18 03:08:15 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2729","Verify all products and product detail page","chromium","Sat Apr 18 03:08:27 UTC 2026","passed","Sat Apr 18 03:08:29 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","14994","Download Invoice after purchase order","chromium","Sat Apr 18 03:08:06 UTC 2026","passed","Sat Apr 18 03:08:21 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3846","Login User with correct email and password","chromium","Sat Apr 18 03:08:23 UTC 2026","passed","Sat Apr 18 03:08:27 UTC 2026","Login","features/login/login.feature.spec.js","",""
