"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5016","Logout User","chromium","Mon Apr 27 03:11:37 UTC 2026","passed","Mon Apr 27 03:11:42 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","16071","Download Invoice after purchase order","chromium","Mon Apr 27 03:11:13 UTC 2026","passed","Mon Apr 27 03:11:29 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","19714","Place Order: Login before Checkout","chromium","Mon Apr 27 03:11:07 UTC 2026","passed","Mon Apr 27 03:11:26 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1991","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Mon Apr 27 03:11:32 UTC 2026","passed","Mon Apr 27 03:11:34 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1830","Verify all products and product detail page","chromium","Mon Apr 27 03:11:37 UTC 2026","passed","Mon Apr 27 03:11:39 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2366","Navigate to test cases page successfully","chromium","Mon Apr 27 03:11:48 UTC 2026","passed","Mon Apr 27 03:11:50 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","2130","Verify Subscription in home page","chromium","Mon Apr 27 03:11:27 UTC 2026","passed","Mon Apr 27 03:11:29 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","17706","Place Order: Register before Checkout","chromium","Mon Apr 27 03:11:06 UTC 2026","passed","Mon Apr 27 03:11:24 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6191","View & Cart Brand Products","chromium","Mon Apr 27 03:11:06 UTC 2026","passed","Mon Apr 27 03:11:13 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","2503","Verify Subscription in Cart page","chromium","Mon Apr 27 03:11:29 UTC 2026","passed","Mon Apr 27 03:11:31 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3657","Login User with correct email and password","chromium","Mon Apr 27 03:11:34 UTC 2026","passed","Mon Apr 27 03:11:37 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","15652","Place Order: Register while Checkout","chromium","Mon Apr 27 03:11:25 UTC 2026","passed","Mon Apr 27 03:11:40 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3323","Submit contact us form successfully","chromium","Mon Apr 27 03:11:26 UTC 2026","passed","Mon Apr 27 03:11:29 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","8122","Add to cart from Recommended items","chromium","Mon Apr 27 03:11:29 UTC 2026","passed","Mon Apr 27 03:11:37 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","5896","Add Products in Cart","chromium","Mon Apr 27 03:11:40 UTC 2026","passed","Mon Apr 27 03:11:46 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7336","Login User with incorrect email and password","chromium","Mon Apr 27 03:11:33 UTC 2026","passed","Mon Apr 27 03:11:40 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","13768","Search Products and Verify Cart After Login","chromium","Mon Apr 27 03:11:44 UTC 2026","passed","Mon Apr 27 03:11:58 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2923","Add review on product","chromium","Mon Apr 27 03:11:45 UTC 2026","passed","Mon Apr 27 03:11:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2960","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Mon Apr 27 03:11:30 UTC 2026","passed","Mon Apr 27 03:11:32 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","4067","Register user","chromium","Mon Apr 27 03:11:48 UTC 2026","passed","Mon Apr 27 03:11:52 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","4884","View Category Products","chromium","Mon Apr 27 03:11:06 UTC 2026","passed","Mon Apr 27 03:11:11 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","3782","Remove Products From Cart","chromium","Mon Apr 27 03:11:40 UTC 2026","passed","Mon Apr 27 03:11:44 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","13855","Verify address details in checkout page","chromium","Mon Apr 27 03:11:12 UTC 2026","passed","Mon Apr 27 03:11:26 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2105","Search Product","chromium","Mon Apr 27 03:11:42 UTC 2026","passed","Mon Apr 27 03:11:45 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3410","Register user with existing email","chromium","Mon Apr 27 03:11:46 UTC 2026","passed","Mon Apr 27 03:11:49 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","8219","Verify Product quantity in Cart","chromium","Mon Apr 27 03:11:39 UTC 2026","passed","Mon Apr 27 03:11:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
