"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7246","Login User with incorrect email and password","chromium","Tue May 19 03:13:14 UTC 2026","passed","Tue May 19 03:13:21 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2186","Search Product","chromium","Tue May 19 03:13:26 UTC 2026","passed","Tue May 19 03:13:28 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","16036","Download Invoice after purchase order","chromium","Tue May 19 03:12:54 UTC 2026","passed","Tue May 19 03:13:10 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1609","Verify Subscription in home page","chromium","Tue May 19 03:13:08 UTC 2026","passed","Tue May 19 03:13:10 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7681","Verify Product quantity in Cart","chromium","Tue May 19 03:13:21 UTC 2026","passed","Tue May 19 03:13:29 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","13707","Verify address details in checkout page","chromium","Tue May 19 03:12:54 UTC 2026","passed","Tue May 19 03:13:08 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2202","Remove Products From Cart","chromium","Tue May 19 03:13:23 UTC 2026","passed","Tue May 19 03:13:26 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4599","View Category Products","chromium","Tue May 19 03:12:47 UTC 2026","passed","Tue May 19 03:12:52 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","2420","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Tue May 19 03:13:11 UTC 2026","passed","Tue May 19 03:13:14 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7963","Add to cart from Recommended items","chromium","Tue May 19 03:13:10 UTC 2026","passed","Tue May 19 03:13:18 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2111","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Tue May 19 03:13:13 UTC 2026","passed","Tue May 19 03:13:15 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2879","Register user with existing email","chromium","Tue May 19 03:13:28 UTC 2026","passed","Tue May 19 03:13:31 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","4909","View & Cart Brand Products","chromium","Tue May 19 03:12:47 UTC 2026","passed","Tue May 19 03:12:52 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","4863","Login User with correct email and password","chromium","Tue May 19 03:13:15 UTC 2026","passed","Tue May 19 03:13:20 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","4105","Register user","chromium","Tue May 19 03:13:29 UTC 2026","passed","Tue May 19 03:13:33 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","17711","Place Order: Register before Checkout","chromium","Tue May 19 03:12:47 UTC 2026","passed","Tue May 19 03:13:05 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1784","Verify all products and product detail page","chromium","Tue May 19 03:13:20 UTC 2026","passed","Tue May 19 03:13:21 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3117","Add review on product","chromium","Tue May 19 03:13:28 UTC 2026","passed","Tue May 19 03:13:31 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","9204","Logout User","chromium","Tue May 19 03:13:18 UTC 2026","passed","Tue May 19 03:13:27 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3512","Submit contact us form successfully","chromium","Tue May 19 03:13:08 UTC 2026","passed","Tue May 19 03:13:11 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","13844","Search Products and Verify Cart After Login","chromium","Tue May 19 03:13:26 UTC 2026","passed","Tue May 19 03:13:40 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4313","Add Products in Cart","chromium","Tue May 19 03:13:21 UTC 2026","passed","Tue May 19 03:13:26 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2344","Verify Subscription in Cart page","chromium","Tue May 19 03:13:10 UTC 2026","passed","Tue May 19 03:13:12 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","16357","Place Order: Register while Checkout","chromium","Tue May 19 03:13:07 UTC 2026","passed","Tue May 19 03:13:23 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6619","Navigate to test cases page successfully","chromium","Tue May 19 03:13:31 UTC 2026","passed","Tue May 19 03:13:37 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","19209","Place Order: Login before Checkout","chromium","Tue May 19 03:12:47 UTC 2026","passed","Tue May 19 03:13:07 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
