"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2997","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Sun May 10 03:11:51 UTC 2026","passed","Sun May 10 03:11:54 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","14211","Verify address details in checkout page","chromium","Sun May 10 03:11:33 UTC 2026","passed","Sun May 10 03:11:48 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7549","Login User with incorrect email and password","chromium","Sun May 10 03:11:54 UTC 2026","passed","Sun May 10 03:12:02 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2926","Add review on product","chromium","Sun May 10 03:12:07 UTC 2026","passed","Sun May 10 03:12:10 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7563","Register user with existing email","chromium","Sun May 10 03:12:08 UTC 2026","passed","Sun May 10 03:12:15 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","21055","Place Order: Login before Checkout","chromium","Sun May 10 03:11:27 UTC 2026","passed","Sun May 10 03:11:48 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3440","Verify Product quantity in Cart","chromium","Sun May 10 03:12:02 UTC 2026","passed","Sun May 10 03:12:05 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","10971","Logout User","chromium","Sun May 10 03:11:59 UTC 2026","passed","Sun May 10 03:12:10 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","5381","Add Products in Cart","chromium","Sun May 10 03:12:02 UTC 2026","passed","Sun May 10 03:12:07 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2960","Verify Subscription in Cart page","chromium","Sun May 10 03:11:51 UTC 2026","passed","Sun May 10 03:11:54 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","5374","View & Cart Brand Products","chromium","Sun May 10 03:11:27 UTC 2026","passed","Sun May 10 03:11:32 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","3996","Remove Products From Cart","chromium","Sun May 10 03:12:02 UTC 2026","passed","Sun May 10 03:12:06 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8329","Add to cart from Recommended items","chromium","Sun May 10 03:11:51 UTC 2026","passed","Sun May 10 03:11:59 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3730","Login User with correct email and password","chromium","Sun May 10 03:11:55 UTC 2026","passed","Sun May 10 03:11:59 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2428","Verify all products and product detail page","chromium","Sun May 10 03:11:59 UTC 2026","passed","Sun May 10 03:12:02 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","9496","Search Products and Verify Cart After Login","chromium","Sun May 10 03:12:06 UTC 2026","passed","Sun May 10 03:12:15 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4950","View Category Products","chromium","Sun May 10 03:11:27 UTC 2026","passed","Sun May 10 03:11:32 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","2472","Search Product","chromium","Sun May 10 03:12:05 UTC 2026","passed","Sun May 10 03:12:08 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3911","Register user","chromium","Sun May 10 03:12:10 UTC 2026","passed","Sun May 10 03:12:14 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","17991","Place Order: Register before Checkout","chromium","Sun May 10 03:11:27 UTC 2026","passed","Sun May 10 03:11:45 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15194","Place Order: Register while Checkout","chromium","Sun May 10 03:11:46 UTC 2026","passed","Sun May 10 03:12:02 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1446","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Sun May 10 03:11:54 UTC 2026","passed","Sun May 10 03:11:55 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1734","Verify Subscription in home page","chromium","Sun May 10 03:11:49 UTC 2026","passed","Sun May 10 03:11:51 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","17102","Download Invoice after purchase order","chromium","Sun May 10 03:11:34 UTC 2026","passed","Sun May 10 03:11:51 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3212","Submit contact us form successfully","chromium","Sun May 10 03:11:48 UTC 2026","passed","Sun May 10 03:11:51 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","2214","Navigate to test cases page successfully","chromium","Sun May 10 03:12:10 UTC 2026","passed","Sun May 10 03:12:12 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
