"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5779","Login User with correct email and password","chromium","Wed Apr 15 03:09:51 UTC 2026","passed","Wed Apr 15 03:09:57 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","4093","Add review on product","chromium","Wed Apr 15 03:10:02 UTC 2026","passed","Wed Apr 15 03:10:06 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","5208","View & Cart Brand Products","chromium","Wed Apr 15 03:09:12 UTC 2026","passed","Wed Apr 15 03:09:17 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","16584","Place Order: Register before Checkout","chromium","Wed Apr 15 03:09:12 UTC 2026","passed","Wed Apr 15 03:09:29 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2597","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Wed Apr 15 03:09:49 UTC 2026","passed","Wed Apr 15 03:09:51 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7158","Navigate to test cases page successfully","chromium","Wed Apr 15 03:10:06 UTC 2026","passed","Wed Apr 15 03:10:14 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","5959","View Category Products","chromium","Wed Apr 15 03:09:48 UTC 2026","passed","Wed Apr 15 03:09:54 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","8196","Register user with existing email","chromium","Wed Apr 15 03:10:03 UTC 2026","passed","Wed Apr 15 03:10:11 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","3310","Verify all products and product detail page","chromium","Wed Apr 15 03:09:54 UTC 2026","passed","Wed Apr 15 03:09:58 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1810","Verify Subscription in Cart page","chromium","Wed Apr 15 03:09:40 UTC 2026","passed","Wed Apr 15 03:09:42 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","6433","Logout User","chromium","Wed Apr 15 03:09:51 UTC 2026","passed","Wed Apr 15 03:09:58 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","19585","Place Order: Login before Checkout","chromium","Wed Apr 15 03:09:12 UTC 2026","passed","Wed Apr 15 03:09:32 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8956","Add to cart from Recommended items","chromium","Wed Apr 15 03:09:42 UTC 2026","passed","Wed Apr 15 03:09:51 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","5370","Add Products in Cart","chromium","Wed Apr 15 03:09:58 UTC 2026","passed","Wed Apr 15 03:10:03 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1832","Verify Subscription in home page","chromium","Wed Apr 15 03:09:38 UTC 2026","passed","Wed Apr 15 03:09:40 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3782","Search Product","chromium","Wed Apr 15 03:09:59 UTC 2026","passed","Wed Apr 15 03:10:03 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8658","Login User with incorrect email and password","chromium","Wed Apr 15 03:09:50 UTC 2026","passed","Wed Apr 15 03:09:59 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","12989","Verify address details in checkout page","chromium","Wed Apr 15 03:09:20 UTC 2026","passed","Wed Apr 15 03:09:33 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2898","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Wed Apr 15 03:09:47 UTC 2026","passed","Wed Apr 15 03:09:50 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","5682","Register user","chromium","Wed Apr 15 03:10:03 UTC 2026","passed","Wed Apr 15 03:10:09 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","4401","Remove Products From Cart","chromium","Wed Apr 15 03:09:58 UTC 2026","passed","Wed Apr 15 03:10:02 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","11186","Search Products and Verify Cart After Login","chromium","Wed Apr 15 03:10:01 UTC 2026","passed","Wed Apr 15 03:10:12 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4001","Verify Product quantity in Cart","chromium","Wed Apr 15 03:09:57 UTC 2026","passed","Wed Apr 15 03:10:01 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","15940","Download Invoice after purchase order","chromium","Wed Apr 15 03:09:31 UTC 2026","passed","Wed Apr 15 03:09:47 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15489","Place Order: Register while Checkout","chromium","Wed Apr 15 03:09:33 UTC 2026","passed","Wed Apr 15 03:09:48 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3754","Submit contact us form successfully","chromium","Wed Apr 15 03:09:34 UTC 2026","passed","Wed Apr 15 03:09:38 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
