"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9629","Search Products and Verify Cart After Login","chromium","Mon May 11 03:13:45 UTC 2026","passed","Mon May 11 03:13:55 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2705","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Mon May 11 03:13:32 UTC 2026","passed","Mon May 11 03:13:35 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3940","Submit contact us form successfully","chromium","Mon May 11 03:13:28 UTC 2026","passed","Mon May 11 03:13:32 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","5018","View Category Products","chromium","Mon May 11 03:13:06 UTC 2026","passed","Mon May 11 03:13:11 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","5431","View & Cart Brand Products","chromium","Mon May 11 03:13:06 UTC 2026","passed","Mon May 11 03:13:12 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","4104","Login User with correct email and password","chromium","Mon May 11 03:13:35 UTC 2026","passed","Mon May 11 03:13:39 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3427","Search Product","chromium","Mon May 11 03:13:43 UTC 2026","passed","Mon May 11 03:13:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","15649","Place Order: Register while Checkout","chromium","Mon May 11 03:13:27 UTC 2026","passed","Mon May 11 03:13:43 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3223","Verify Product quantity in Cart","chromium","Mon May 11 03:13:42 UTC 2026","passed","Mon May 11 03:13:45 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","5560","Add Products in Cart","chromium","Mon May 11 03:13:42 UTC 2026","passed","Mon May 11 03:13:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2009","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Mon May 11 03:13:33 UTC 2026","passed","Mon May 11 03:13:35 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","4315","Logout User","chromium","Mon May 11 03:13:39 UTC 2026","passed","Mon May 11 03:13:43 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3500","Add review on product","chromium","Mon May 11 03:13:47 UTC 2026","passed","Mon May 11 03:13:50 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7821","Register user with existing email","chromium","Mon May 11 03:13:47 UTC 2026","passed","Mon May 11 03:13:55 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","6636","Navigate to test cases page successfully","chromium","Mon May 11 03:13:50 UTC 2026","passed","Mon May 11 03:13:57 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","17675","Download Invoice after purchase order","chromium","Mon May 11 03:13:12 UTC 2026","passed","Mon May 11 03:13:30 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4079","Remove Products From Cart","chromium","Mon May 11 03:13:43 UTC 2026","passed","Mon May 11 03:13:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7708","Add to cart from Recommended items","chromium","Mon May 11 03:13:32 UTC 2026","passed","Mon May 11 03:13:39 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2149","Verify all products and product detail page","chromium","Mon May 11 03:13:39 UTC 2026","passed","Mon May 11 03:13:42 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","20119","Place Order: Register before Checkout","chromium","Mon May 11 03:13:06 UTC 2026","passed","Mon May 11 03:13:26 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15836","Verify address details in checkout page","chromium","Mon May 11 03:13:12 UTC 2026","passed","Mon May 11 03:13:28 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2730","Verify Subscription in Cart page","chromium","Mon May 11 03:13:30 UTC 2026","passed","Mon May 11 03:13:33 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2404","Verify Subscription in home page","chromium","Mon May 11 03:13:29 UTC 2026","passed","Mon May 11 03:13:32 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7222","Login User with incorrect email and password","chromium","Mon May 11 03:13:35 UTC 2026","passed","Mon May 11 03:13:42 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","5056","Register user","chromium","Mon May 11 03:13:48 UTC 2026","passed","Mon May 11 03:13:53 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","22269","Place Order: Login before Checkout","chromium","Mon May 11 03:13:06 UTC 2026","passed","Mon May 11 03:13:29 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
