"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3241","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Sun May 03 03:11:19 UTC 2026","passed","Sun May 03 03:11:23 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7601","Register user with existing email","chromium","Sun May 03 03:11:38 UTC 2026","passed","Sun May 03 03:11:46 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","13758","Verify address details in checkout page","chromium","Sun May 03 03:11:02 UTC 2026","passed","Sun May 03 03:11:16 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","14107","Search Products and Verify Cart After Login","chromium","Sun May 03 03:11:35 UTC 2026","passed","Sun May 03 03:11:49 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7986","Logout User","chromium","Sun May 03 03:11:27 UTC 2026","passed","Sun May 03 03:11:35 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3748","Add Products in Cart","chromium","Sun May 03 03:11:32 UTC 2026","passed","Sun May 03 03:11:35 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2629","Remove Products From Cart","chromium","Sun May 03 03:11:33 UTC 2026","passed","Sun May 03 03:11:35 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7770","Verify Product quantity in Cart","chromium","Sun May 03 03:11:31 UTC 2026","passed","Sun May 03 03:11:38 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","18106","Place Order: Register before Checkout","chromium","Sun May 03 03:10:55 UTC 2026","passed","Sun May 03 03:11:14 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9061","Login User with correct email and password","chromium","Sun May 03 03:11:23 UTC 2026","passed","Sun May 03 03:11:33 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","5395","View Category Products","chromium","Sun May 03 03:10:56 UTC 2026","passed","Sun May 03 03:11:01 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","16900","Download Invoice after purchase order","chromium","Sun May 03 03:11:03 UTC 2026","passed","Sun May 03 03:11:19 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","20116","Place Order: Login before Checkout","chromium","Sun May 03 03:10:55 UTC 2026","passed","Sun May 03 03:11:16 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7882","Add to cart from Recommended items","chromium","Sun May 03 03:11:19 UTC 2026","passed","Sun May 03 03:11:27 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1690","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Sun May 03 03:11:22 UTC 2026","passed","Sun May 03 03:11:23 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1809","Verify all products and product detail page","chromium","Sun May 03 03:11:30 UTC 2026","passed","Sun May 03 03:11:32 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3141","Search Product","chromium","Sun May 03 03:11:35 UTC 2026","passed","Sun May 03 03:11:38 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2326","Navigate to test cases page successfully","chromium","Sun May 03 03:11:39 UTC 2026","passed","Sun May 03 03:11:41 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","1874","Verify Subscription in home page","chromium","Sun May 03 03:11:17 UTC 2026","passed","Sun May 03 03:11:19 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","5254","View & Cart Brand Products","chromium","Sun May 03 03:10:55 UTC 2026","passed","Sun May 03 03:11:01 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","3658","Add review on product","chromium","Sun May 03 03:11:35 UTC 2026","passed","Sun May 03 03:11:39 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4603","Register user","chromium","Sun May 03 03:11:39 UTC 2026","passed","Sun May 03 03:11:43 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","15272","Place Order: Register while Checkout","chromium","Sun May 03 03:11:15 UTC 2026","passed","Sun May 03 03:11:30 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2511","Verify Subscription in Cart page","chromium","Sun May 03 03:11:19 UTC 2026","passed","Sun May 03 03:11:22 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3278","Submit contact us form successfully","chromium","Sun May 03 03:11:16 UTC 2026","passed","Sun May 03 03:11:19 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","6850","Login User with incorrect email and password","chromium","Sun May 03 03:11:23 UTC 2026","passed","Sun May 03 03:11:30 UTC 2026","Login","features/login/login.feature.spec.js","",""
