"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5194","View Category Products","chromium","Fri Apr 03 03:08:02 UTC 2026","passed","Fri Apr 03 03:08:07 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","2464","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Fri Apr 03 03:08:29 UTC 2026","passed","Fri Apr 03 03:08:31 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2698","Remove Products From Cart","chromium","Fri Apr 03 03:08:44 UTC 2026","passed","Fri Apr 03 03:08:47 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2893","Search Product","chromium","Fri Apr 03 03:08:47 UTC 2026","passed","Fri Apr 03 03:08:50 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4078","Register user","chromium","Fri Apr 03 03:08:51 UTC 2026","passed","Fri Apr 03 03:08:55 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","4221","Verify all products and product detail page","chromium","Fri Apr 03 03:08:38 UTC 2026","passed","Fri Apr 03 03:08:42 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","14798","Search Products and Verify Cart After Login","chromium","Fri Apr 03 03:08:47 UTC 2026","passed","Fri Apr 03 03:09:02 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8039","Register user with existing email","chromium","Fri Apr 03 03:08:50 UTC 2026","passed","Fri Apr 03 03:08:58 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","11577","Login User with correct email and password","chromium","Fri Apr 03 03:08:35 UTC 2026","passed","Fri Apr 03 03:08:47 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","4722","Add Products in Cart","chromium","Fri Apr 03 03:08:43 UTC 2026","passed","Fri Apr 03 03:08:48 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1603","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Fri Apr 03 03:08:31 UTC 2026","passed","Fri Apr 03 03:08:33 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","8742","Add to cart from Recommended items","chromium","Fri Apr 03 03:08:29 UTC 2026","passed","Fri Apr 03 03:08:37 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","14591","Place Order: Register while Checkout","chromium","Fri Apr 03 03:08:22 UTC 2026","passed","Fri Apr 03 03:08:36 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2514","Navigate to test cases page successfully","chromium","Fri Apr 03 03:08:51 UTC 2026","passed","Fri Apr 03 03:08:54 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","19648","Place Order: Login before Checkout","chromium","Fri Apr 03 03:08:02 UTC 2026","passed","Fri Apr 03 03:08:22 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","16643","Download Invoice after purchase order","chromium","Fri Apr 03 03:08:09 UTC 2026","passed","Fri Apr 03 03:08:26 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2212","Verify Product quantity in Cart","chromium","Fri Apr 03 03:08:42 UTC 2026","passed","Fri Apr 03 03:08:44 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1985","Login User with incorrect email and password","chromium","Fri Apr 03 03:08:33 UTC 2026","passed","Fri Apr 03 03:08:35 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","6337","Logout User","chromium","Fri Apr 03 03:08:36 UTC 2026","passed","Fri Apr 03 03:08:43 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3790","Add review on product","chromium","Fri Apr 03 03:08:48 UTC 2026","passed","Fri Apr 03 03:08:51 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","16940","Verify address details in checkout page","chromium","Fri Apr 03 03:08:31 UTC 2026","passed","Fri Apr 03 03:08:48 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5635","View & Cart Brand Products","chromium","Fri Apr 03 03:08:02 UTC 2026","passed","Fri Apr 03 03:08:08 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","18324","Place Order: Register before Checkout","chromium","Fri Apr 03 03:08:02 UTC 2026","passed","Fri Apr 03 03:08:20 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3124","Submit contact us form successfully","chromium","Fri Apr 03 03:08:23 UTC 2026","passed","Fri Apr 03 03:08:26 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","2625","Verify Subscription in Cart page","chromium","Fri Apr 03 03:08:26 UTC 2026","passed","Fri Apr 03 03:08:29 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2911","Verify Subscription in home page","chromium","Fri Apr 03 03:08:26 UTC 2026","passed","Fri Apr 03 03:08:29 UTC 2026","Home","features/home/home.feature.spec.js","",""
