"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4463","View Category Products","chromium","Sat Mar 28 03:05:22 UTC 2026","passed","Sat Mar 28 03:05:26 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","5311","Add Products in Cart","chromium","Sat Mar 28 03:05:57 UTC 2026","passed","Sat Mar 28 03:06:02 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3476","Remove Products From Cart","chromium","Sat Mar 28 03:05:58 UTC 2026","passed","Sat Mar 28 03:06:02 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2439","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Sat Mar 28 03:05:47 UTC 2026","passed","Sat Mar 28 03:05:50 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3188","Logout User","chromium","Sat Mar 28 03:05:53 UTC 2026","passed","Sat Mar 28 03:05:57 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","4117","Submit contact us form successfully","chromium","Sat Mar 28 03:05:42 UTC 2026","passed","Sat Mar 28 03:05:46 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","13633","Add to cart from Recommended items","chromium","Sat Mar 28 03:05:45 UTC 2026","passed","Sat Mar 28 03:05:58 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2743","Search Product","chromium","Sat Mar 28 03:05:59 UTC 2026","passed","Sat Mar 28 03:06:02 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","15441","Place Order: Register while Checkout","chromium","Sat Mar 28 03:05:41 UTC 2026","passed","Sat Mar 28 03:05:57 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5220","View & Cart Brand Products","chromium","Sat Mar 28 03:05:22 UTC 2026","passed","Sat Mar 28 03:05:27 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","14391","Verify address details in checkout page","chromium","Sat Mar 28 03:05:27 UTC 2026","passed","Sat Mar 28 03:05:41 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1854","Verify Subscription in home page","chromium","Sat Mar 28 03:05:43 UTC 2026","passed","Sat Mar 28 03:05:44 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","19201","Place Order: Register before Checkout","chromium","Sat Mar 28 03:05:22 UTC 2026","passed","Sat Mar 28 03:05:41 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3250","Verify all products and product detail page","chromium","Sat Mar 28 03:05:56 UTC 2026","passed","Sat Mar 28 03:05:59 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7456","Register user with existing email","chromium","Sat Mar 28 03:06:02 UTC 2026","passed","Sat Mar 28 03:06:10 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","2523","Verify Subscription in Cart page","chromium","Sat Mar 28 03:05:44 UTC 2026","passed","Sat Mar 28 03:05:47 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","8319","Search Products and Verify Cart After Login","chromium","Sat Mar 28 03:06:02 UTC 2026","passed","Sat Mar 28 03:06:10 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2134","Navigate to test cases page successfully","chromium","Sat Mar 28 03:06:05 UTC 2026","passed","Sat Mar 28 03:06:07 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","7180","Login User with incorrect email and password","chromium","Sat Mar 28 03:05:49 UTC 2026","passed","Sat Mar 28 03:05:56 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3812","Register user","chromium","Sat Mar 28 03:06:05 UTC 2026","passed","Sat Mar 28 03:06:09 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","8298","Verify Product quantity in Cart","chromium","Sat Mar 28 03:05:57 UTC 2026","passed","Sat Mar 28 03:06:05 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2629","Add review on product","chromium","Sat Mar 28 03:06:02 UTC 2026","passed","Sat Mar 28 03:06:05 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","16999","Download Invoice after purchase order","chromium","Sat Mar 28 03:05:28 UTC 2026","passed","Sat Mar 28 03:05:45 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3840","Login User with correct email and password","chromium","Sat Mar 28 03:05:50 UTC 2026","passed","Sat Mar 28 03:05:53 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3018","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Sat Mar 28 03:05:46 UTC 2026","passed","Sat Mar 28 03:05:49 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","20210","Place Order: Login before Checkout","chromium","Sat Mar 28 03:05:22 UTC 2026","passed","Sat Mar 28 03:05:42 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
