"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9097","Login User with correct email and password","chromium","Wed May 06 03:11:48 UTC 2026","passed","Wed May 06 03:11:57 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","4429","Add Products in Cart","chromium","Wed May 06 03:11:54 UTC 2026","passed","Wed May 06 03:11:58 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8005","Add to cart from Recommended items","chromium","Wed May 06 03:11:41 UTC 2026","passed","Wed May 06 03:11:49 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7449","Login User with incorrect email and password","chromium","Wed May 06 03:11:46 UTC 2026","passed","Wed May 06 03:11:54 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","10426","Search Products and Verify Cart After Login","chromium","Wed May 06 03:11:58 UTC 2026","passed","Wed May 06 03:12:09 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7129","Verify Product quantity in Cart","chromium","Wed May 06 03:11:54 UTC 2026","passed","Wed May 06 03:12:01 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2736","Add review on product","chromium","Wed May 06 03:12:01 UTC 2026","passed","Wed May 06 03:12:04 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3740","Register user","chromium","Wed May 06 03:12:04 UTC 2026","passed","Wed May 06 03:12:07 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","1993","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Wed May 06 03:11:46 UTC 2026","passed","Wed May 06 03:11:48 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7123","Navigate to test cases page successfully","chromium","Wed May 06 03:12:07 UTC 2026","passed","Wed May 06 03:12:14 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","8509","Logout User","chromium","Wed May 06 03:11:49 UTC 2026","passed","Wed May 06 03:11:58 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2708","Search Product","chromium","Wed May 06 03:11:58 UTC 2026","passed","Wed May 06 03:12:01 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7322","Submit contact us form successfully","chromium","Wed May 06 03:11:39 UTC 2026","passed","Wed May 06 03:11:46 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","17502","Place Order: Register before Checkout","chromium","Wed May 06 03:11:20 UTC 2026","passed","Wed May 06 03:11:37 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","19355","Place Order: Login before Checkout","chromium","Wed May 06 03:11:20 UTC 2026","passed","Wed May 06 03:11:39 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5153","View & Cart Brand Products","chromium","Wed May 06 03:11:20 UTC 2026","passed","Wed May 06 03:11:25 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","1545","Verify Subscription in home page","chromium","Wed May 06 03:11:40 UTC 2026","passed","Wed May 06 03:11:41 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","14293","Place Order: Register while Checkout","chromium","Wed May 06 03:11:38 UTC 2026","passed","Wed May 06 03:11:52 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1953","Verify Subscription in Cart page","chromium","Wed May 06 03:11:41 UTC 2026","passed","Wed May 06 03:11:43 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","4892","View Category Products","chromium","Wed May 06 03:11:20 UTC 2026","passed","Wed May 06 03:11:25 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","15756","Download Invoice after purchase order","chromium","Wed May 06 03:11:26 UTC 2026","passed","Wed May 06 03:11:41 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2264","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Wed May 06 03:11:43 UTC 2026","passed","Wed May 06 03:11:46 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7532","Register user with existing email","chromium","Wed May 06 03:12:01 UTC 2026","passed","Wed May 06 03:12:09 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","13534","Verify address details in checkout page","chromium","Wed May 06 03:11:25 UTC 2026","passed","Wed May 06 03:11:39 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4646","Remove Products From Cart","chromium","Wed May 06 03:12:12 UTC 2026","passed","Wed May 06 03:12:17 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1523","Verify all products and product detail page","chromium","Wed May 06 03:11:52 UTC 2026","passed","Wed May 06 03:11:54 UTC 2026","Products","features/products/products.feature.spec.js","",""
