"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4153","Submit contact us form successfully","chromium","Sun Mar 22 03:07:41 UTC 2026","passed","Sun Mar 22 03:07:46 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","5177","Logout User","chromium","Sun Mar 22 03:07:57 UTC 2026","passed","Sun Mar 22 03:08:02 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","13564","Verify address details in checkout page","chromium","Sun Mar 22 03:07:26 UTC 2026","passed","Sun Mar 22 03:07:39 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1927","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Sun Mar 22 03:07:51 UTC 2026","passed","Sun Mar 22 03:07:53 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","20336","Place Order: Login before Checkout","chromium","Sun Mar 22 03:07:19 UTC 2026","passed","Sun Mar 22 03:07:40 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1549","Verify Subscription in Cart page","chromium","Sun Mar 22 03:07:48 UTC 2026","passed","Sun Mar 22 03:07:49 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2767","Search Product","chromium","Sun Mar 22 03:08:06 UTC 2026","passed","Sun Mar 22 03:08:08 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","2154","Verify Subscription in home page","chromium","Sun Mar 22 03:07:46 UTC 2026","passed","Sun Mar 22 03:07:48 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2441","Navigate to test cases page successfully","chromium","Sun Mar 22 03:08:10 UTC 2026","passed","Sun Mar 22 03:08:12 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","10064","Login User with correct email and password","chromium","Sun Mar 22 03:07:56 UTC 2026","passed","Sun Mar 22 03:08:06 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","3025","Verify all products and product detail page","chromium","Sun Mar 22 03:07:58 UTC 2026","passed","Sun Mar 22 03:08:01 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","14998","Place Order: Register while Checkout","chromium","Sun Mar 22 03:07:41 UTC 2026","passed","Sun Mar 22 03:07:56 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3276","Register user with existing email","chromium","Sun Mar 22 03:08:08 UTC 2026","passed","Sun Mar 22 03:08:12 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","7031","Login User with incorrect email and password","chromium","Sun Mar 22 03:07:54 UTC 2026","passed","Sun Mar 22 03:08:01 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","4949","Add Products in Cart","chromium","Sun Mar 22 03:08:01 UTC 2026","passed","Sun Mar 22 03:08:06 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3512","Remove Products From Cart","chromium","Sun Mar 22 03:08:02 UTC 2026","passed","Sun Mar 22 03:08:06 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4377","Register user","chromium","Sun Mar 22 03:08:10 UTC 2026","passed","Sun Mar 22 03:08:14 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","8871","Add to cart from Recommended items","chromium","Sun Mar 22 03:07:49 UTC 2026","passed","Sun Mar 22 03:07:58 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","8273","Verify Product quantity in Cart","chromium","Sun Mar 22 03:08:01 UTC 2026","passed","Sun Mar 22 03:08:10 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1181","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Sun Mar 22 03:07:53 UTC 2026","passed","Sun Mar 22 03:07:54 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3001","Add review on product","chromium","Sun Mar 22 03:08:06 UTC 2026","passed","Sun Mar 22 03:08:09 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3355","View Category Products","chromium","Sun Mar 22 03:07:37 UTC 2026","passed","Sun Mar 22 03:07:40 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","17208","Download Invoice after purchase order","chromium","Sun Mar 22 03:07:40 UTC 2026","passed","Sun Mar 22 03:07:57 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9397","Search Products and Verify Cart After Login","chromium","Sun Mar 22 03:08:06 UTC 2026","passed","Sun Mar 22 03:08:16 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","20428","Place Order: Register before Checkout","chromium","Sun Mar 22 03:07:28 UTC 2026","passed","Sun Mar 22 03:07:49 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5206","View & Cart Brand Products","chromium","Sun Mar 22 03:07:19 UTC 2026","passed","Sun Mar 22 03:07:24 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
