"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5606","View & Cart Brand Products","chromium","Fri May 15 03:12:37 UTC 2026","passed","Fri May 15 03:12:43 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","1459","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Fri May 15 03:13:04 UTC 2026","passed","Fri May 15 03:13:06 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","8201","Add to cart from Recommended items","chromium","Fri May 15 03:13:01 UTC 2026","passed","Fri May 15 03:13:09 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3651","Add review on product","chromium","Fri May 15 03:13:19 UTC 2026","passed","Fri May 15 03:13:23 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3384","Submit contact us form successfully","chromium","Fri May 15 03:12:58 UTC 2026","passed","Fri May 15 03:13:01 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","4098","Logout User","chromium","Fri May 15 03:13:10 UTC 2026","passed","Fri May 15 03:13:14 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","2588","Verify Product quantity in Cart","chromium","Fri May 15 03:13:12 UTC 2026","passed","Fri May 15 03:13:15 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","6841","Login User with incorrect email and password","chromium","Fri May 15 03:13:04 UTC 2026","passed","Fri May 15 03:13:11 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","7864","Register user with existing email","chromium","Fri May 15 03:13:20 UTC 2026","passed","Fri May 15 03:13:28 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","5118","View Category Products","chromium","Fri May 15 03:12:37 UTC 2026","passed","Fri May 15 03:12:42 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","7995","Search Products and Verify Cart After Login","chromium","Fri May 15 03:13:37 UTC 2026","passed","Fri May 15 03:13:45 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4992","Search Product","chromium","Fri May 15 03:13:15 UTC 2026","passed","Fri May 15 03:13:20 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","5948","Add Products in Cart","chromium","Fri May 15 03:13:14 UTC 2026","passed","Fri May 15 03:13:20 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","5161","Register user","chromium","Fri May 15 03:13:20 UTC 2026","passed","Fri May 15 03:13:25 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","2580","Verify all products and product detail page","chromium","Fri May 15 03:13:11 UTC 2026","passed","Fri May 15 03:13:14 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","18542","Place Order: Register before Checkout","chromium","Fri May 15 03:12:37 UTC 2026","passed","Fri May 15 03:12:56 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5270","Remove Products From Cart","chromium","Fri May 15 03:13:14 UTC 2026","passed","Fri May 15 03:13:19 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","9248","Login User with correct email and password","chromium","Fri May 15 03:13:06 UTC 2026","passed","Fri May 15 03:13:15 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","17400","Download Invoice after purchase order","chromium","Fri May 15 03:12:44 UTC 2026","passed","Fri May 15 03:13:01 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","14642","Verify address details in checkout page","chromium","Fri May 15 03:12:43 UTC 2026","passed","Fri May 15 03:12:58 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6736","Navigate to test cases page successfully","chromium","Fri May 15 03:13:23 UTC 2026","passed","Fri May 15 03:13:30 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3181","Verify Subscription in Cart page","chromium","Fri May 15 03:13:01 UTC 2026","passed","Fri May 15 03:13:04 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","21555","Place Order: Login before Checkout","chromium","Fri May 15 03:12:37 UTC 2026","passed","Fri May 15 03:12:59 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15638","Place Order: Register while Checkout","chromium","Fri May 15 03:12:57 UTC 2026","passed","Fri May 15 03:13:12 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2916","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Fri May 15 03:13:02 UTC 2026","passed","Fri May 15 03:13:04 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","1976","Verify Subscription in home page","chromium","Fri May 15 03:13:00 UTC 2026","passed","Fri May 15 03:13:01 UTC 2026","Home","features/home/home.feature.spec.js","",""
